,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
0,#001,#001,Bulbasaur,Grass,Poison,Green,Overgrow,0,Chlorophyll ,1,0.7,6.9,45,49,49,65,65,45,318
1,#002,#002,Ivysaur,Grass,Poison,Green,Overgrow,0,Chlorophyll ,1,1.0,13.0,60,62,63,80,80,60,405
2,#003,#003,Venusaur,Grass,Poison,Green,OvergrowVenusaur,0,Chlorophyll ,1,2.0,100.0,80,82,83,100,100,80,525
3,#004,#004,Charmander,Fire,0,Red,Blaze,0,Solar Power ,1,0.6,8.5,39,52,43,60,50,65,309
4,#005,#005,Charmeleon,Fire,0,Red,Blaze,0,Solar Power ,1,1.1,19.0,58,64,58,80,65,80,405
5,#006,#006,Charizard,Fire,Flying,Red,BlazeCharizard,0,Solar Power ,1,1.7,90.5,78,84,78,109,85,100,534
6,#007,#007,Squirtle,Water,0,Blue,Torrent,0,Rain Dish ,1,0.5,9.0,44,48,65,50,64,43,314
7,#008,#008,Wartortle,Water,0,Blue,Torrent,0,Rain Dish ,1,1.0,22.5,59,63,80,65,80,58,405
8,#009,#009,Blastoise,Water,0,Blue,TorrentBlastoise,0,Rain Dish ,1,1.6,85.5,79,83,100,85,105,78,530
9,#010,#010,Caterpie,Bug,0,Green,Shield Dust,0,Run Away ,1,0.3,2.9,45,30,35,20,20,45,195
10,#011,#011,Metapod,Bug,0,Green,0,0,Cacophony ,1,0.7,9.9,50,20,55,25,25,30,205
11,#012,#012,Butterfree,Bug,Flying,White,Compound Eyes,0,Tinted Lens ,1,1.1,32.0,60,45,50,80,80,70,385
12,#013,#013,Weedle,Bug,Poison,Brown,Shield Dust,0,Run Away ,1,0.3,3.2,40,35,30,20,20,50,195
13,#014,#014,Kakuna,Bug,Poison,Yellow,0,0,Cacophony ,1,0.6,10.0,45,25,50,25,25,35,205
14,#015,#015,Beedrill,Bug,Poison,Yellow,SwarmBeedrill,0,Sniper ,1,1.0,29.5,65,80,40,45,80,75,385
15,#016,#016,Pidgey,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks ,1,0.3,1.8,40,45,40,35,35,56,251
16,#017,#017,Pidgeotto,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks ,1,1.1,30.0,63,60,55,50,50,71,349
17,#018,#018,Pidgeot,Normal,Flying,Brown,Keen Eye,Tangled FeetPidgeot,Big Pecks ,1,1.5,39.5,83,80,75,70,70,91,469
18,#019,#019,Rattata,Normal,0,Purple,Run Away,GutsRattata,HustleRattata ,1,0.3,3.5,30,56,35,25,35,72,253
19,,#019,Rattata,Dark,Normal,Purple,Run Away,GutsRattata,HustleRattata ,1,0.3,3.5,30,56,35,25,35,72,253
20,#020,#020,Raticate,Normal,0,Brown,Run Away,GutsRaticate,HustleRaticate ,1,0.7,18.5,55,81,60,50,70,97,413
21,,#020,Raticate,Dark,Normal,Brown,Run Away,GutsRaticate,HustleRaticate ,1,0.7,18.5,55,81,60,50,70,97,413
22,#021,#021,Spearow,Normal,Flying,Brown,Keen Eye,0,Sniper ,1,0.3,2.0,40,60,30,31,31,70,262
23,#022,#022,Fearow,Normal,Flying,Brown,Keen Eye,0,Sniper ,1,1.2,38.0,65,90,65,61,61,100,442
24,#023,#023,Ekans,Poison,0,Purple,Intimidate,Shed Skin,Unnerve ,1,2.0,6.9,35,60,44,40,54,55,288
25,#024,#024,Arbok,Poison,0,Purple,Intimidate,Shed Skin,Unnerve ,1,3.5,65.0,60,85,69,65,79,80,438
26,#025,#025,Pikachu,Electric,0,Yellow,StaticPikachu,0,Lightning Rod ,1,0.4,6.0,35,55,30,50,40,90,300
27,#026,#026,Raichu,Electric,0,Yellow,StaticRaichu,0,Lightning RodRaichu ,1,0.8,30.0,60,90,55,90,80,100,475
28,,#026,Raichu,Electric,Psychic,Yellow,StaticRaichu,0,Lightning RodRaichu ,1,0.8,30.0,60,90,55,90,80,100,475
29,#027,#027,Sandshrew,Ground,0,Yellow,Sand VeilSandshrew,0,Sand RushSandshrew ,1,0.6,12.0,50,75,85,20,30,40,300
30,,#027,Sandshrew,Ice,Steel,Yellow,Sand VeilSandshrew,0,Sand RushSandshrew ,1,0.6,12.0,50,75,85,20,30,40,300
31,#028,#028,Sandslash,Ground,0,Yellow,Sand VeilSandslash,0,Sand RushSandslash ,1,1.0,29.5,75,100,110,45,55,65,450
32,,#028,Sandslash,Ice,Steel,Yellow,Sand VeilSandslash,0,Sand RushSandslash ,1,1.0,29.5,75,100,110,45,55,65,450
33,#029,#029,Nidoran♀,Poison,0,Blue,Poison Point,Rivalry,Hustle ,1,0.4,7.0,55,47,52,40,40,41,275
34,#030,#030,Nidorina,Poison,0,Blue,Poison Point,Rivalry,Hustle ,1,0.8,20.0,70,62,67,55,55,56,365
35,#031,#031,Nidoqueen,Poison,Ground,Blue,Poison Point,Rivalry,Sheer Force ,1,1.3,60.0,90,82,87,75,85,76,495
36,#032,#032,Nidoran♂,Poison,0,Purple,Poison Point,Rivalry,Hustle ,1,0.5,9.0,46,57,40,40,40,50,273
37,#033,#033,Nidorino,Poison,0,Purple,Poison Point,Rivalry,Hustle ,1,0.9,19.5,61,72,57,55,55,65,365
38,#034,#034,Nidoking,Poison,Ground,Purple,Poison Point,Rivalry,Sheer Force ,1,1.4,62.0,81,92,77,85,75,85,495
39,#035,#035,Clefairy,Fairy,0,Pink,Cute Charm,Magic Guard,Friend Guard ,1,0.6,7.5,70,45,48,60,65,35,323
40,#036,#036,Clefable,Fairy,0,Pink,Cute Charm,Magic Guard,Unaware ,1,1.3,40.0,95,70,73,85,90,60,473
41,#037,#037,Vulpix,Fire,0,Brown,Flash FireVulpix,0,DroughtVulpix ,1,0.6,9.9,38,41,40,50,65,65,299
42,,#037,Vulpix,Ice,0,Brown,Flash FireVulpix,0,DroughtVulpix ,1,0.6,9.9,38,41,40,50,65,65,299
43,#038,#038,Ninetales,Fire,0,Yellow,Flash FireNinetales,0,DroughtNinetales ,1,1.1,19.9,73,76,75,81,100,100,505
44,,#038,Ninetales,Ice,Fairy,Yellow,Flash FireNinetales,0,DroughtNinetales ,1,1.1,19.9,73,76,75,81,100,100,505
45,#039,#039,Jigglypuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard ,1,0.5,5.5,115,45,20,45,25,20,270
46,#040,#040,Wigglytuff,Normal,Fairy,Pink,Cute Charm,Competitive,Frisk ,1,1.0,12.0,140,70,45,75,50,45,425
47,#041,#041,Zubat,Poison,Flying,Purple,Inner Focus,0,Infiltrator ,1,0.8,7.5,40,45,35,30,40,55,245
48,#042,#042,Golbat,Poison,Flying,Purple,Inner Focus,0,Infiltrator ,1,1.6,55.0,75,80,70,65,75,90,455
49,#043,#043,Oddish,Grass,Poison,Blue,Chlorophyll,0,Run Away ,1,0.5,5.4,45,50,55,75,65,30,320
50,#044,#044,Gloom,Grass,Poison,Blue,Chlorophyll,0,Stench ,1,0.8,8.6,60,65,70,85,75,40,395
51,#045,#045,Vileplume,Grass,Poison,Red,Chlorophyll,0,Effect Spore ,1,1.2,18.6,75,80,85,100,90,50,480
52,#046,#046,Paras,Bug,Grass,Red,Effect Spore,Dry Skin,Damp ,1,0.3,5.4,35,70,55,45,55,25,285
53,#047,#047,Parasect,Bug,Grass,Red,Effect Spore,Dry Skin,Damp ,1,1.0,29.5,60,95,80,60,80,30,405
54,#048,#048,Venonat,Bug,Poison,Purple,Compound Eyes,Tinted Lens,Run Away ,1,1.0,30.0,60,55,50,40,55,45,305
55,#049,#049,Venomoth,Bug,Poison,Purple,Shield Dust,Tinted Lens,Wonder Skin ,1,1.5,12.5,70,65,60,90,75,90,450
56,#050,#050,Diglett,Ground,0,Brown,Sand Veil,Arena TrapDiglett,Sand Force ,1,0.2,0.8,10,55,25,35,45,95,265
57,,#050,Diglett,Ground,Steel,Brown,Sand Veil,Arena TrapDiglett,Sand Force ,1,0.2,0.8,10,55,25,35,45,95,265
58,#051,#051,Dugtrio,Ground,0,Brown,Sand Veil,Arena TrapDugtrio,Sand Force ,1,0.7,33.3,35,80,50,50,70,120,405
59,,#051,Dugtrio,Ground,Steel,Brown,Sand Veil,Arena TrapDugtrio,Sand Force ,1,0.7,33.3,35,80,50,50,70,120,405
60,#052,#052,Meowth,Normal,0,Yellow,Pickup,TechnicianMeowth,UnnerveMeowth and Galarian Meowth ,1,0.4,4.2,40,45,35,40,40,90,290
